Day,Interest
1/15/17,95
1/16/17,79
1/17/17,71
1/18/17,70
1/19/17,67
1/20/17,70
1/21/17,78
1/22/17,83
1/23/17,71
1/24/17,72
1/25/17,71
1/26/17,78
1/27/17,75
1/28/17,79
1/29/17,83
1/30/17,69
1/31/17,68
2/1/17,68
2/2/17,68
2/3/17,65
2/4/17,74
2/5/17,74
2/6/17,66
2/7/17,63
2/8/17,64
2/9/17,62
2/10/17,63
2/11/17,70
2/12/17,72
2/13/17,61
2/14/17,58
2/15/17,64
2/16/17,65
2/17/17,66
2/18/17,75
2/19/17,77
2/20/17,68
2/21/17,64
2/22/17,62
2/23/17,63
2/24/17,69
2/25/17,72
2/26/17,73
2/27/17,100
2/28/17,73
3/1/17,66
3/2/17,66
3/3/17,66
3/4/17,68
3/5/17,78
3/6/17,64
3/7/17,64
3/8/17,63
3/9/17,61
3/10/17,64
3/11/17,65
3/12/17,75
3/13/17,61
3/14/17,62
3/15/17,59
3/16/17,62
3/17/17,63
3/18/17,63
3/19/17,72
3/20/17,62
3/21/17,62
3/22/17,58
3/23/17,60
3/24/17,62
3/25/17,65
3/26/17,69
3/27/17,59
3/28/17,57
3/29/17,60
3/30/17,58